year,mileage,engine_size,horsepower,fuel_type,transmission,brand,condition,accident_count,num_owners,price
2011,115954,2.5,299,gasoline,automatic,Chevrolet,excellent,0,4,20597.17
2011,25887,1.4,315,diesel,automatic,BMW,fair,4,1,29941.43
2000,146912,1.4,472,gasoline,manual,Nissan,fair,0,2,6472.24
2005,28595,1.6,372,gasoline,automatic,Toyota,good,1,2,21119.95
2021,52496,3.0,193,electric,manual,BMW,fair,1,3,42996.32
2002,33837,1.8,233,diesel,automatic,Kia,good,0,1,11951.4
2009,24508,1.8,221,gasoline,automatic,Chevrolet,excellent,0,2,18502.48
2014,129112,3.5,237,hybrid,automatic,Honda,poor,0,2,12916.71
2018,66090,1.4,234,gasoline,automatic,BMW,good,3,1,39421.95
2020,190162,5.0,388,hybrid,automatic,Nissan,fair,3,2,18988.88
2012,60080,1.4,474,hybrid,cvt,Chevrolet,good,0,2,27445.15
2002,25429,3.0,357,hybrid,automatic,Audi,fair,0,1,35893.73
2015,147220,5.0,420,diesel,automatic,Toyota,fair,1,2,24454.71
2002,50442,1.4,222,gasoline,automatic,Honda,poor,0,2,7996.66
2017,33343,3.5,255,hybrid,manual,Chevrolet,excellent,0,1,34235.87
2011,185106,2.5,390,diesel,manual,Honda,fair,3,3,13030.46
2019,167850,2.5,124,diesel,automatic,Chevrolet,good,1,2,18293.03
2017,167820,2.0,204,hybrid,automatic,Toyota,excellent,1,2,25074.25
2017,105407,2.5,231,gasoline,automatic,Audi,good,0,3,42684.55
2010,143432,5.0,301,electric,automatic,Hyundai,excellent,0,3,27828.53
2009,133421,1.6,168,diesel,cvt,Chevrolet,excellent,4,3,4848.77
2016,31751,1.4,153,diesel,automatic,Chevrolet,good,1,1,19773.82
2021,81142,1.6,446,gasoline,cvt,BMW,fair,3,2,37805.85
2019,30646,1.6,400,diesel,cvt,Ford,excellent,1,4,33809.52
2005,38376,2.5,335,gasoline,automatic,Chevrolet,good,3,2,14023.03
2020,157280,4.0,455,diesel,automatic,Kia,good,0,3,26248.43
2018,26110,3.0,131,electric,cvt,Kia,fair,0,3,17641.01
2019,149767,2.0,351,hybrid,manual,Ford,fair,0,1,17657.42
2018,189862,4.0,171,gasoline,automatic,Chevrolet,good,2,2,11871.29
2020,21353,1.4,291,diesel,automatic,Nissan,excellent,3,2,30534.63
2002,5314,2.5,317,gasoline,automatic,Audi,poor,0,1,20110.72
2013,13749,3.0,309,gasoline,manual,Toyota,good,0,1,26173.8
2013,159958,1.4,200,gasoline,automatic,Mercedes,fair,0,1,25856.76
2015,2919,3.5,213,diesel,manual,Honda,excellent,3,3,28587.4
2023,16389,3.0,443,diesel,automatic,Mercedes,fair,1,2,67836.61
2009,22325,4.0,478,gasoline,automatic,Kia,excellent,2,3,24033.28
2017,119674,5.0,137,diesel,automatic,Toyota,excellent,0,2,36181.38
2002,106637,1.6,464,gasoline,manual,Ford,good,1,2,9390.6
2011,103339,4.0,103,gasoline,manual,Audi,excellent,0,3,35154.31
2012,166722,1.4,370,gasoline,automatic,Honda,good,1,1,17560.34
2005,83030,2.5,397,hybrid,automatic,Honda,good,1,1,20564.55
2002,135002,3.5,264,gasoline,automatic,BMW,fair,1,3,14305.97
2011,24110,5.0,379,electric,automatic,Hyundai,fair,3,2,24731.0
2000,168190,4.0,128,gasoline,automatic,Nissan,good,1,1,6800.29
2010,166142,3.5,492,electric,automatic,Honda,good,1,1,28124.72
2023,64838,4.0,93,hybrid,automatic,Chevrolet,fair,0,2,21697.76
2015,129198,4.0,345,gasoline,manual,Kia,poor,3,1,8972.73
2014,151803,3.0,392,electric,cvt,Honda,fair,0,2,21784.07
2016,166798,1.4,323,gasoline,automatic,Kia,excellent,0,4,15968.53
2021,132393,1.6,291,gasoline,automatic,Nissan,excellent,4,1,22366.11
2018,172679,5.0,89,hybrid,cvt,Chevrolet,poor,1,5,8082.38
2017,147331,2.5,337,hybrid,automatic,Mercedes,fair,3,1,38686.53
2019,12398,4.0,200,gasoline,automatic,Chevrolet,good,2,1,28818.13
2001,12729,1.4,439,gasoline,automatic,Kia,fair,0,2,12454.52
2021,160612,1.4,186,gasoline,automatic,Hyundai,poor,0,4,8362.38
2021,127803,3.0,94,diesel,cvt,Ford,excellent,1,3,23092.74
2017,35290,1.8,174,diesel,automatic,BMW,excellent,2,2,54614.24
2008,174579,1.4,336,electric,automatic,BMW,fair,0,2,25556.56
2000,124457,1.8,465,gasoline,automatic,Toyota,excellent,1,1,17068.02
2000,41393,2.0,498,gasoline,automatic,Ford,poor,0,1,7982.31
2021,169421,1.8,489,gasoline,automatic,Audi,good,0,1,55844.76
2023,101538,1.4,314,diesel,automatic,Honda,excellent,1,3,34108.94
2020,110823,1.8,489,diesel,manual,Nissan,excellent,3,1,31677.11
2006,159809,2.0,328,diesel,cvt,Honda,excellent,0,2,16385.72
2001,172830,4.0,488,gasoline,automatic,Mercedes,good,1,1,32423.97
2020,39424,1.8,174,diesel,automatic,Kia,good,1,1,23308.81
2002,25453,3.0,324,hybrid,automatic,Kia,fair,1,5,11843.04
2023,6606,1.8,408,electric,automatic,Hyundai,fair,0,3,27383.89
2014,19992,2.5,447,hybrid,automatic,Hyundai,excellent,3,2,29840.69
2010,133761,1.8,162,gasoline,automatic,Nissan,good,4,1,5923.28
2012,172807,4.0,406,gasoline,automatic,Toyota,excellent,0,5,28217.62
2019,170049,5.0,247,electric,automatic,Hyundai,fair,0,1,21215.44
2007,191896,2.0,221,gasoline,cvt,Kia,good,3,3,500.0
2005,77001,2.0,145,gasoline,manual,Ford,good,0,3,7204.2
2000,153502,2.5,131,diesel,automatic,Audi,excellent,0,2,10393.11
2012,129335,2.5,375,diesel,automatic,BMW,poor,0,5,24600.28
2017,137902,3.0,376,gasoline,automatic,Ford,fair,0,1,17153.42
2020,17971,4.0,319,gasoline,automatic,Nissan,good,0,1,36293.15
2006,126716,2.0,152,gasoline,manual,Hyundai,good,0,5,4536.44
2015,51669,2.0,455,diesel,cvt,Audi,good,2,3,52448.28
2018,177380,1.8,92,gasoline,automatic,Nissan,good,0,1,11027.12
2023,91255,1.4,209,diesel,automatic,Mercedes,excellent,1,1,69296.07
2010,184757,3.5,152,gasoline,automatic,Chevrolet,excellent,1,3,12051.59
2010,23751,1.6,251,gasoline,automatic,Audi,good,1,1,39133.65
2008,85511,4.0,266,gasoline,automatic,Chevrolet,fair,0,4,13470.23
2015,130590,1.6,148,gasoline,manual,BMW,excellent,0,1,34089.07
2016,116689,2.0,143,diesel,automatic,Kia,fair,0,1,13774.7
2013,176509,4.0,491,gasoline,manual,Ford,fair,0,4,13782.52
2015,107315,1.6,121,hybrid,manual,Honda,poor,0,2,8304.32
2009,15968,2.0,297,gasoline,automatic,Kia,excellent,1,1,18857.31
2012,20360,3.5,379,gasoline,automatic,Chevrolet,excellent,1,3,29697.28
2014,49106,2.0,245,gasoline,automatic,Audi,excellent,2,4,45525.73
2004,176816,5.0,191,diesel,manual,Honda,good,2,3,10299.24
2016,102014,1.6,390,hybrid,manual,Chevrolet,excellent,1,1,29438.64
2017,58212,1.6,452,hybrid,automatic,Audi,good,1,1,64291.08
2006,177919,1.8,196,hybrid,automatic,Toyota,excellent,0,1,10912.03
2013,75952,1.6,247,gasoline,automatic,Ford,good,0,4,16082.79
2014,161730,2.5,204,gasoline,automatic,Honda,fair,1,1,12164.63
2020,143440,5.0,261,gasoline,manual,Ford,fair,2,2,14122.79
2001,6800,1.8,212,gasoline,manual,Ford,fair,3,1,5283.94
2015,13653,1.6,438,gasoline,automatic,Kia,excellent,3,1,24019.37
2002,99875,1.8,339,diesel,automatic,Mercedes,excellent,0,5,34062.74
2003,168951,4.0,473,hybrid,automatic,Nissan,fair,0,4,12098.69
2010,84946,4.0,237,hybrid,automatic,Ford,excellent,1,1,26917.61
2007,81475,2.5,190,gasoline,automatic,Nissan,excellent,1,1,13809.97
2015,31216,1.8,188,hybrid,automatic,Kia,poor,1,2,8888.4
2005,95717,5.0,113,gasoline,cvt,Honda,good,0,1,16164.74
2001,71797,1.4,377,gasoline,cvt,Chevrolet,excellent,1,1,14107.4
2016,26525,5.0,122,gasoline,cvt,Audi,good,3,1,45644.06
2006,129145,1.6,145,electric,automatic,Mercedes,good,1,2,18151.15
2009,99471,2.5,274,diesel,automatic,Chevrolet,fair,2,1,12122.93
2014,123443,2.5,150,gasoline,automatic,Ford,good,0,2,15041.2
2014,39788,2.0,324,gasoline,automatic,BMW,good,2,1,47586.62
2002,66925,5.0,303,hybrid,automatic,Toyota,good,0,2,25048.07
2006,140899,5.0,218,hybrid,automatic,Honda,excellent,1,3,21581.13
2021,100159,2.5,353,gasoline,automatic,Ford,good,3,2,23072.48
2022,133883,5.0,309,gasoline,cvt,Chevrolet,good,0,2,27616.94
2020,194948,1.8,488,gasoline,automatic,Kia,excellent,0,1,23943.27
2003,58672,1.6,365,hybrid,automatic,Chevrolet,good,0,2,16341.68
2021,57907,1.8,423,hybrid,cvt,Toyota,poor,0,2,18862.45
2005,136171,3.0,240,gasoline,automatic,Kia,excellent,1,2,8692.29
2012,77706,3.5,378,gasoline,automatic,Nissan,poor,1,1,11038.95
2017,16126,3.0,365,hybrid,manual,BMW,good,1,3,63038.63
2000,74113,1.6,201,diesel,manual,Audi,excellent,0,1,22471.61
2005,142698,2.0,146,gasoline,automatic,Honda,fair,1,2,5037.41
2002,80573,2.0,120,gasoline,automatic,Kia,good,0,5,7740.46
2000,156836,2.0,319,gasoline,manual,Honda,good,2,1,6278.21
2022,99295,2.5,297,gasoline,manual,Nissan,excellent,1,1,27581.6
2000,159389,1.8,187,gasoline,cvt,Mercedes,good,2,1,4638.01
2019,19561,1.4,465,gasoline,cvt,Kia,good,0,1,25075.95
2005,175821,2.5,416,hybrid,automatic,Nissan,good,0,5,14070.91
2018,2467,5.0,268,gasoline,automatic,Kia,fair,1,1,18372.38
2022,103834,2.0,364,hybrid,automatic,Audi,fair,0,4,45904.75
2019,70566,1.8,419,diesel,cvt,Hyundai,fair,0,3,23031.93
2008,51708,4.0,87,electric,automatic,Audi,good,0,3,41188.46
2000,42996,5.0,104,gasoline,cvt,BMW,excellent,1,2,30199.97
2001,36648,1.8,249,gasoline,automatic,Honda,good,0,3,13939.77
2012,4167,3.0,286,diesel,automatic,Honda,fair,0,2,23631.33
2021,89720,2.5,388,gasoline,automatic,Ford,good,2,1,26789.0
2009,14311,3.5,227,gasoline,automatic,Ford,poor,2,1,11833.98
2008,7009,1.4,496,gasoline,cvt,Mercedes,fair,1,1,40238.62
2019,145509,3.5,148,gasoline,cvt,Mercedes,excellent,1,4,48105.92
2014,195583,3.0,219,electric,automatic,Ford,poor,1,4,8037.91
2008,124383,2.0,151,gasoline,automatic,Hyundai,excellent,0,2,11737.01
2000,193779,1.6,216,hybrid,automatic,Toyota,good,0,2,5487.04
2012,158100,1.8,200,hybrid,manual,Ford,good,0,1,16131.14
2023,161684,5.0,369,hybrid,automatic,Hyundai,fair,4,2,16567.68
2023,37183,3.5,394,gasoline,cvt,Mercedes,good,4,1,65759.68
2019,94525,4.0,273,diesel,automatic,Nissan,fair,0,1,23240.76
2019,186080,5.0,100,gasoline,automatic,Audi,good,1,1,39088.61
2006,14942,3.0,340,gasoline,manual,Chevrolet,poor,0,1,10950.9
2001,92623,3.5,477,hybrid,cvt,BMW,fair,0,1,34859.02
2013,83611,2.5,127,gasoline,automatic,Hyundai,excellent,0,2,15084.66
2003,69580,1.8,387,diesel,automatic,Honda,good,0,2,17102.56
2010,186294,3.5,352,gasoline,automatic,Hyundai,fair,2,1,10326.6
2009,17006,2.5,447,diesel,automatic,Audi,good,2,1,51303.28
2009,54647,1.8,214,gasoline,automatic,BMW,excellent,0,4,39250.95
2023,81196,5.0,212,gasoline,manual,Mercedes,good,1,1,63524.69
2000,53160,4.0,162,gasoline,automatic,Toyota,good,2,3,12731.06
2021,195397,2.5,395,gasoline,automatic,Chevrolet,good,1,2,20323.15
2010,112405,3.0,360,diesel,manual,Toyota,good,2,5,17516.57
2005,105147,1.4,298,hybrid,automatic,Honda,excellent,0,2,19559.62
2016,145458,2.0,364,gasoline,automatic,Nissan,excellent,0,1,27387.53
2019,135684,3.0,343,diesel,manual,Nissan,good,0,1,28032.36
2012,13888,3.5,375,diesel,automatic,Honda,good,2,1,29079.56
2009,100965,1.6,390,gasoline,automatic,Nissan,good,1,2,16828.13
2020,120610,1.8,470,diesel,cvt,Ford,good,1,5,25695.58
2019,123410,4.0,345,diesel,cvt,Hyundai,fair,0,3,17625.25
2022,103237,1.8,465,gasoline,automatic,Nissan,good,3,2,24563.49
2019,165983,3.0,103,diesel,manual,Nissan,poor,1,2,7271.95
2015,56547,4.0,282,hybrid,automatic,Ford,excellent,0,2,35200.57
2018,65165,3.0,376,gasoline,automatic,Honda,fair,0,4,24718.65
2018,164073,2.5,249,hybrid,manual,BMW,good,1,2,37466.51
2007,192418,2.0,158,diesel,automatic,Audi,good,0,1,14691.86
2005,186580,1.8,108,gasoline,automatic,Chevrolet,good,0,1,5610.12
2021,178323,1.4,105,diesel,automatic,Toyota,excellent,1,3,21530.86
2023,191645,3.5,413,diesel,automatic,Chevrolet,fair,0,1,19034.79
2006,135009,2.0,376,gasoline,automatic,Honda,excellent,0,1,21875.57
2015,71477,3.0,448,diesel,automatic,Nissan,good,0,1,33065.99
2000,64648,2.5,482,hybrid,manual,Kia,good,3,1,13215.51
2006,88744,5.0,119,hybrid,manual,Nissan,good,0,2,16354.2
2012,157647,5.0,170,diesel,automatic,Toyota,good,0,3,19401.48
2016,44671,1.6,258,gasoline,automatic,Chevrolet,fair,1,5,13173.19
2007,140148,1.6,445,diesel,cvt,Ford,good,1,2,19263.4
2004,171237,2.0,186,gasoline,automatic,Nissan,good,0,2,7140.55
2018,16431,2.5,88,gasoline,automatic,BMW,excellent,2,1,52690.1
2022,106279,2.5,252,gasoline,automatic,BMW,poor,0,1,27190.8
2020,177267,3.5,314,gasoline,automatic,BMW,good,0,1,47868.24
2016,47486,3.5,303,electric,manual,Nissan,excellent,3,1,34186.67
2016,193106,1.6,109,diesel,cvt,BMW,excellent,0,2,28135.03
2013,109034,3.0,367,gasoline,manual,Hyundai,good,0,3,18224.82
2003,62104,2.5,371,gasoline,cvt,Honda,excellent,1,3,18255.43
2009,128733,1.4,357,diesel,automatic,Honda,excellent,0,2,24051.6
2017,46531,2.0,327,hybrid,cvt,Audi,good,0,2,58881.86
2001,173424,2.0,265,gasoline,automatic,Chevrolet,fair,2,1,1396.47
2016,197061,3.5,450,gasoline,automatic,Honda,good,0,4,25924.44
2022,41749,1.6,400,gasoline,cvt,Toyota,good,4,2,28359.91
2013,189813,2.0,498,gasoline,automatic,Ford,excellent,1,2,21934.55
2018,181383,2.0,139,gasoline,automatic,Chevrolet,good,0,1,15737.57
2014,3497,5.0,400,electric,automatic,Hyundai,good,0,2,36649.27
2013,132911,1.4,450,gasoline,automatic,BMW,good,1,1,42282.1
2022,158138,1.8,323,gasoline,cvt,Toyota,excellent,1,5,26454.35
2018,128889,1.4,130,gasoline,manual,Honda,fair,0,4,13184.95
2017,107809,1.8,470,electric,automatic,Honda,fair,3,1,22082.07
2020,45169,4.0,386,electric,manual,Mercedes,excellent,2,2,100200.87
2013,110892,1.8,367,gasoline,automatic,Mercedes,good,1,2,43293.98
2007,28547,5.0,319,gasoline,automatic,Chevrolet,excellent,5,3,19012.94
2016,115869,1.4,442,gasoline,automatic,Audi,excellent,1,2,54211.47
2003,177438,3.0,307,electric,manual,Chevrolet,good,1,2,9028.77
2015,10287,2.5,233,gasoline,manual,Hyundai,fair,0,3,13860.59
2014,65258,5.0,340,gasoline,automatic,Chevrolet,fair,0,2,17020.13
2005,132928,1.8,132,gasoline,cvt,Ford,fair,0,2,4251.03
2013,162816,5.0,196,gasoline,manual,BMW,excellent,0,2,42112.24
2000,183272,1.8,327,gasoline,automatic,Mercedes,good,0,3,10866.72
2022,99780,3.0,166,hybrid,automatic,Hyundai,good,3,1,20938.68
2022,55771,4.0,91,gasoline,automatic,BMW,excellent,3,2,57109.02
2018,45816,3.5,317,gasoline,automatic,Audi,fair,2,3,36953.32
2004,133727,1.6,443,gasoline,automatic,Honda,good,2,2,16753.82
2010,50860,2.0,220,electric,automatic,BMW,good,0,5,45168.91
2017,95248,1.4,166,gasoline,automatic,Chevrolet,fair,0,1,14124.85
2021,183723,1.4,332,diesel,automatic,Toyota,fair,0,1,20048.98
2021,81473,2.0,147,diesel,automatic,Nissan,poor,0,1,13250.36
2014,2098,5.0,487,diesel,automatic,Ford,good,2,2,37420.38
2001,169956,2.0,334,diesel,automatic,Audi,poor,4,1,6618.15
2022,86524,5.0,261,electric,automatic,Mercedes,excellent,0,1,110222.44
2012,28651,2.5,210,diesel,automatic,Mercedes,fair,0,3,37734.19
2008,165471,1.4,482,hybrid,automatic,BMW,excellent,1,1,42986.61
2016,136935,5.0,268,gasoline,automatic,Honda,good,1,2,24176.0
2023,163456,4.0,110,gasoline,automatic,BMW,fair,1,1,34155.62
2020,10448,1.8,489,diesel,manual,Honda,good,1,3,35604.86
2009,43949,2.5,438,gasoline,manual,Honda,good,0,2,22896.79
2015,130262,2.5,297,gasoline,automatic,Ford,fair,0,1,16359.06
2023,32226,3.0,391,electric,automatic,Kia,excellent,2,1,40728.33
2020,59402,3.0,383,diesel,manual,Honda,excellent,0,3,38692.99
2017,29931,4.0,84,electric,cvt,Ford,fair,1,2,20859.05
2022,120973,3.5,167,hybrid,automatic,Nissan,excellent,0,2,33024.44
2004,1039,3.5,219,diesel,automatic,Honda,good,1,4,18317.76
2019,5310,1.8,382,hybrid,manual,Mercedes,excellent,0,2,89607.86
2007,24458,1.6,377,gasoline,manual,Audi,poor,3,2,16355.8
2003,120368,1.8,345,electric,automatic,Chevrolet,good,1,4,11007.36
2009,74505,2.0,170,diesel,automatic,Chevrolet,good,1,1,14802.76
2020,131255,4.0,228,gasoline,automatic,BMW,poor,1,1,26425.87
2016,69606,2.5,300,hybrid,automatic,Toyota,good,0,2,33593.35
2003,86884,5.0,247,gasoline,automatic,Audi,good,2,1,30301.56
2007,169235,1.6,367,gasoline,automatic,Honda,excellent,0,1,16587.42
2021,95959,3.5,439,hybrid,automatic,Audi,poor,1,4,34987.83
2006,11752,4.0,367,diesel,automatic,Hyundai,good,3,3,21318.96
2011,37681,1.6,475,gasoline,cvt,Ford,good,4,1,17332.74
2021,139595,2.0,404,gasoline,manual,Nissan,fair,0,1,19410.67
2010,112421,1.4,417,gasoline,cvt,Mercedes,excellent,1,2,48858.31
2012,46910,2.5,132,gasoline,manual,Toyota,good,0,3,19841.2
2012,83516,3.5,418,hybrid,manual,Nissan,excellent,2,2,29022.7
2000,21757,1.8,117,gasoline,manual,BMW,good,1,2,14346.35
2005,178851,2.5,398,gasoline,automatic,Kia,good,4,2,6312.85
2023,150329,1.8,194,gasoline,manual,Toyota,excellent,1,3,22803.78
2006,113187,3.0,326,hybrid,automatic,Toyota,excellent,1,2,23024.63
2005,46346,5.0,371,electric,manual,Honda,excellent,0,1,36854.67
2018,27113,1.6,293,diesel,cvt,Nissan,good,0,1,31623.41
2013,88091,2.0,415,gasoline,cvt,Hyundai,excellent,0,3,22646.84
2004,97232,1.6,467,gasoline,manual,Ford,good,0,3,16041.55
2008,194848,2.0,158,gasoline,automatic,Mercedes,excellent,0,1,24087.31
2014,35302,2.5,389,gasoline,automatic,Kia,excellent,0,2,26003.65
2001,96264,1.4,215,electric,automatic,BMW,excellent,2,3,14372.78
2018,11005,3.5,396,gasoline,automatic,Kia,fair,0,2,22162.02
2011,22772,2.0,241,gasoline,automatic,Chevrolet,poor,0,2,12025.05
2010,54750,5.0,459,gasoline,automatic,Mercedes,fair,0,3,51630.2
2003,178928,1.8,138,gasoline,manual,Toyota,excellent,0,3,1273.68
2013,159193,1.8,480,gasoline,automatic,Audi,good,0,2,43821.24
2018,25617,5.0,217,hybrid,automatic,Mercedes,excellent,0,2,100117.2
2020,107870,5.0,153,diesel,automatic,Toyota,good,1,1,33058.62
2014,19767,1.4,461,gasoline,automatic,BMW,good,0,2,61171.47
2003,42451,3.0,406,gasoline,automatic,Kia,good,1,2,15384.02
2009,18010,4.0,300,electric,automatic,Nissan,excellent,1,2,34508.52
2017,171000,1.4,349,gasoline,automatic,Nissan,fair,0,2,13544.83
2010,189798,1.6,397,gasoline,automatic,Hyundai,good,3,2,8314.33
2006,182403,1.8,184,gasoline,automatic,BMW,good,1,2,11898.05
2004,71581,1.8,324,electric,automatic,Toyota,fair,1,2,15099.24
2021,126087,1.6,147,diesel,automatic,Nissan,good,0,1,22097.48
2014,79981,4.0,231,gasoline,automatic,Honda,good,0,2,26101.31
2004,131207,2.0,441,gasoline,cvt,Kia,fair,2,4,6964.24
2022,102984,3.5,360,gasoline,automatic,Kia,good,0,2,25674.7
2000,148673,2.5,450,gasoline,automatic,Audi,good,0,1,28469.78
2011,3910,1.6,104,diesel,manual,Audi,fair,1,1,26306.56
2011,7292,1.8,445,gasoline,automatic,Nissan,poor,2,1,12190.49
2007,141204,5.0,298,diesel,manual,Audi,good,2,1,31146.43
2009,29671,2.0,277,diesel,automatic,Honda,good,0,2,29040.23
2013,85075,1.4,190,diesel,automatic,Kia,fair,1,3,9398.35
2002,96168,2.5,182,electric,automatic,BMW,fair,0,3,19510.49
2022,3671,2.0,454,gasoline,manual,Toyota,good,1,1,36253.7
2021,176817,4.0,202,gasoline,manual,Kia,good,0,1,17565.19
2013,136774,1.4,471,gasoline,manual,Hyundai,fair,1,1,14745.66
2019,63357,4.0,238,electric,automatic,Kia,good,2,1,25113.32
2003,44204,3.0,318,electric,cvt,Ford,fair,0,2,16056.56
2010,87672,3.0,214,hybrid,automatic,Kia,fair,0,3,11785.73
2015,94227,3.0,122,gasoline,automatic,Hyundai,excellent,5,1,14494.8
2005,38003,2.5,486,gasoline,automatic,Hyundai,good,0,3,18847.17
2015,115674,3.0,286,gasoline,cvt,Chevrolet,good,0,3,20687.06
2002,43193,2.5,481,gasoline,manual,BMW,good,0,3,37618.3
2013,122168,3.0,97,hybrid,manual,Nissan,excellent,1,2,16788.72
2005,94860,2.0,154,electric,manual,Mercedes,poor,0,1,14633.47
2006,194606,3.0,184,electric,cvt,Honda,fair,4,2,2185.13
2019,31552,3.5,472,gasoline,automatic,Honda,good,0,1,38247.64
2010,69839,5.0,189,hybrid,automatic,Honda,fair,0,1,22311.57
2005,140809,3.5,256,gasoline,automatic,Mercedes,fair,0,1,23826.87
2017,93610,1.8,81,diesel,manual,Nissan,fair,2,4,9566.42
2013,142151,1.4,144,gasoline,automatic,Chevrolet,excellent,1,1,12296.46
2022,187790,1.4,457,gasoline,automatic,Kia,excellent,2,1,22908.5
2019,73608,1.4,240,hybrid,automatic,Hyundai,fair,2,1,15824.26
2005,53467,2.5,405,diesel,cvt,Honda,good,1,4,20085.46
2007,42212,1.6,85,gasoline,automatic,Honda,good,1,1,13679.28
2003,24981,2.0,405,diesel,automatic,Toyota,good,1,1,25168.86
2019,125913,1.8,318,gasoline,automatic,Kia,good,1,2,17152.32
2022,10433,2.5,254,gasoline,manual,Audi,fair,1,4,39135.92
2001,146056,1.4,274,gasoline,manual,Audi,excellent,1,2,10023.22
2007,87272,2.0,453,electric,automatic,Ford,fair,1,1,18711.23
2005,144442,1.8,224,electric,automatic,Kia,excellent,1,2,9211.68
2009,70892,3.0,389,electric,automatic,Audi,excellent,0,2,68975.71
2001,127722,2.5,362,gasoline,automatic,Ford,excellent,1,1,13608.97
2019,5764,3.5,413,diesel,automatic,Hyundai,good,1,3,29036.32
2013,121661,1.8,254,diesel,automatic,Hyundai,fair,2,1,12599.38
2016,93775,2.0,322,gasoline,manual,Mercedes,fair,1,4,32396.36
2023,198147,3.5,392,diesel,manual,Mercedes,poor,0,1,28080.56
2014,31083,3.5,263,gasoline,cvt,Mercedes,good,1,5,49884.06
